index,Area,Branch,Address
12,노원구,상계중앙점,서울 노원구 동일로 1650 (상계동)
13,노원구,서울과학기술대점,서울 노원구 공릉로 208 (공릉동)
14,노원구,서울여대점,서울 노원구 노원로 3 (공릉동)
15,노원구,석계역점,서울 노원구 석계로3길 3 (월계동)
16,노원구,세이브존노원점,"서울 노원구 한글비석로 57 (하계동, 세이브존)"
17,노원구,수락산역점,"서울 노원구 동일로 1689 (상계동, 하이베라스)"
18,노원구,원자력병원점,서울 노원구 공릉로46길 6 (공릉동)
19,노원구,월계이마트점,"서울 노원구 마들로3길 15 (월계동, 월계이마트)"
20,노원구,월계인덕점,서울 노원구 광운로22길 39 (월계동)
21,노원구,월계초교점,서울 노원구 월계동 845-5
22,노원구,은행사거리점,서울 노원구 중계로 201 (중계동)
23,노원구,중계롯데우성점,서울 노원구 노원로22길 70 (중계동)
24,노원구,중계본동점,서울 노원구 중계로14바길 2 (중계동)
25,노원구,중계브라운스톤점,"서울 노원구 동일로203가길 29 (중계동, 브라운스톤중계)"
26,노원구,중계점,서울 노원구 동일로204가길 34 (중계동)
27,노원구,중계중앙점,서울 노원구 덕릉로73길 18 (중계동)
28,노원구,태릉입구역점,"서울 노원구 공릉로 105 (공릉동, 성종빌딩)"
29,노원구,하계온천점,서울 노원구 노원로 257 (하계동)
30,노원구,하계을지점,서울 노원구 공릉로 326 (하계동)
0,도봉구,덕성여대점,서울 도봉구 삼양로 542 (쌍문동)
1,도봉구,도봉구청점,"서울 도봉구 도봉로150길 43 (방학동, ESA 아파트)"
2,도봉구,도봉보건소사거리점,서울 도봉구 해등로 157 (쌍문동)
3,도봉구,도봉산점,서울 도봉구 도봉산길 18 (도봉동)
4,도봉구,도봉역점,서울 도봉구 도봉로 823 (도봉동)
5,도봉구,도봉중앙점,서울 도봉구 도봉로181길 18 (도봉동)
6,도봉구,방학사거리점,서울 도봉구 도봉로 677 (방학동)
7,도봉구,방학역점,서울 도봉구 도봉로153길 15 (방학동)
8,도봉구,방학점,서울 도봉구 방학로 171 (방학동)
9,도봉구,방학중앙점,서울 도봉구 도당로13길 22 (방학동)
10,도봉구,선덕고사거리점,"서울 도봉구 해등로 255 (쌍문동, 에벤에셀아파트)"
11,도봉구,솔밭공원역점,"서울 도봉구 삼양로 594 (쌍문동, 주함해븐빌)"
12,도봉구,신창점,서울 도봉구 덕릉로 235 (창동)
13,도봉구,쌍문동점,서울 도봉구 노해로 162 (쌍문동)
14,도봉구,쌍문역점,서울 도봉구 도봉로117길 4 (쌍문동)
