index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area
355,'(주)서부트럭터미날','서울 양천구 신정로 167 (신정동)','HDO','1689','1899','N','Y','','N','N','Y',양천구
356,'신양주유소','서울 양천구 지양로 67','SKE','1799','1949','N','Y','','N','N','N',양천구
357,'영등포제일셀프주유소','서울 영등포구 가마산로 379','HDO','1595','1817','Y','Y','','Y','N','N',영등포구
358,'(주)대청에너지 대청주유소','서울 영등포구 가마산로 328 (대림동)','GSC','1595','1817','Y','Y','','Y','N','Y',영등포구
359,'도림주유소','서울 영등포구 도림로 343 (도림동)','RTO','1595','1827','Y','N','','Y','N','N',영등포구
360,'(주)MS에너지','서울 영등포구 대림로 230','HDO','1595','1827','N','Y','','N','N','N',영등포구
361,'성락주유소','서울 영등포구 가마산로 414 (신길동)','SOL','1595','1817','Y','Y','','N','N','N',영등포구
362,'남서울고속주유소','서울 영등포구 가마산로 367 (대림동)','SKE','1595','1817','Y','Y','','N','N','N',영등포구
363,'(주)강서오일','서울 영등포구 도신로 151','HDO','1609','1809','N','N','','N','N','Y',영등포구
364,'행촌주유소','서울 영등포구 도신로 130 (신길동)','SKE','1609','1809','Y','Y','','N','Y','Y',영등포구
365,'매봉주유소','서울 영등포구 도신로 248 (신길동)','HDO','1619','1869','Y','Y','','Y','N','N',영등포구
366,'한경석유(주)경덕주유소','서울 영등포구 여의대방로23길 2 (신길동)','SKE','1619','1838','Y','Y','','N','N','N',영등포구
367,'현대오일뱅크㈜직영 대일셀프주유소','서울 영등포구 영등포로 168','HDO','1622','1847','Y','N','','N','N','N',영등포구
368,'지에스칼텍스㈜ 신길주유소','서울 영등포구 신길로 74 (신길동)','GSC','1622','1832','Y','Y','','N','N','Y',영등포구
369,'영등포현대셀프주유소','서울 영등포구 경인로 822 (영등포동)','HDO','1627','1827','Y','N','','N','Y','N',영등포구
370,'㈜지에스이앤알 모드니주유소','서울 영등포구 경인로 789','GSC','1629','1856','N','Y','','N','N','N',영등포구
