index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area,Lat,Lng
17,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,GSC,1798,2098,N,Y,N,N,N,N,강남구,37.4723322,127.0517033
18,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),SOL,1829,2029,N,Y,N,N,N,Y,강남구,37.4999072,127.0373932
19,현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),HDO,1898,2014,N,Y,N,N,N,N,강남구,37.5194704,127.0263136
20,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),HDO,1909,2029,Y,Y,N,N,N,N,강남구,37.5098777,127.0651015
21,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GSC,1912,2054,N,Y,N,Y,N,Y,강남구,37.5000267,127.0671775
22,현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),HDO,1947,1994,N,Y,N,N,N,N,강남구,37.5287714,127.0341463
23,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,GSC,1979,2122,N,N,N,N,N,N,강남구,37.5184855,127.0646604
24,(주)소모에너지 쎈트럴주유소,서울 강남구 삼성로 335,GSC,1998,2104,N,Y,N,N,N,N,강남구,37.5014022,127.059066
25,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),GSC,1998,2104,Y,Y,N,N,N,Y,강남구,37.5079601,127.0542139
26,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),GSC,2044,2197,N,Y,N,N,N,N,강남구,37.4983776,127.0774759
27,명품주유소,서울 강남구 도곡로 249 (역삼동),SOL,2197,2279,N,Y,N,N,N,Y,강남구,37.494102,127.045482
28,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,HDO,2198,2289,N,Y,N,N,N,Y,강남구,37.5257812,127.0265166
29,대청주유소,서울 강남구 개포로 654 (일원동),SKE,2226,2279,N,Y,N,N,N,N,강남구,37.494874,127.0842726
30,(주)새서울네트웍스 제이제이주유소,서울 강남구 언주로 716,HDO,2248,2437,N,Y,N,N,N,Y,강남구,37.51763589999999,127.0357559
31,SK논현주유소,서울 강남구 논현로 747 (논현동),SKE,2345,2375,N,Y,N,Y,N,Y,강남구,37.5184942,127.0282324
32,갤러리아주유소,서울 강남구 압구정로 426,SKE,2357,2377,N,Y,N,N,N,N,강남구,37.5266815,127.0435149
33,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),GSC,2598,2590,N,Y,N,N,N,N,강남구,37.51151340000001,127.0470928
34,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),HDO,1669,1849,Y,Y,N,N,N,N,강동구,37.5364637,127.149316
35,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),HDO,1674,1866,Y,N,N,N,N,N,강동구,37.5544523,127.1439562
36,구천면주유소,서울 강동구 구천면로 357 (암사동),HDO,1684,1865,N,N,N,N,N,N,강동구,37.5504208,127.1382328
